"","control_mean","itt_mean","late_mean","control_mean_sd","itt_sd","late_sd","control_sample_size"
"rx_num_mod_12m",2.446,-0.024,-0.1235,2.903,0.0514,0.1794,92.9408413992471
"doc_num_mod_12m",2.113,0.1207,0.3723,3.178,0.0555,0.1982,103.585713300628
"er_num_mod_12m",0.517,-0.0397,-0.1523,1.076,0.0168,0.0607,103.667738472487
"hosp_num_mod_12m",0.107,-0.0035,-0.0145,0.419,0.0064,0.0229,103.754517973918
"notbaddays_phys_12m",22.056,-1.2302,-4.9293,9.586,0.1661,0.5888,99.5540054442813
"notbaddays_tot_12m",23.418,-1.0961,-4.4109,8.906,0.1528,0.5376,100.985147422777
"notbaddays_ment_12m",20.286,-0.8624,-3.5734,10.508,0.1795,0.637,99.9949998749938
"rx_any_12m",0.672,-0.0082,-0.0363,0.469,0.0083,0.0289,92.9784921366226
"doc_any_12m",0.634,0.0046,0.0011,0.482,0.0075,0.0267,103.711137299713
"er_any_12m",0.288,-0.0199,-0.0756,0.453,0.007,0.0251,103.749698794743
"hosp_any_12m",0.08,-0.0051,-0.0198,0.271,0.0041,0.0148,103.860483341837
"health_genflip_bin_12m",0.603,-0.0143,-0.0668,0.489,0.0077,0.0274,103.41179816636
"health_notpoor_12m",0.945,-0.0521,-0.1951,0.229,0.0043,0.0156,103.41179816636
"health_chgflip_bin_12m",0.781,-0.0328,-0.1377,0.413,0.0066,0.0234,103.624321469431
"nodep_screen_12m",0.742,-0.0449,-0.1831,0.438,0.007,0.025,102.708324881676
